subject_id,n_vertices,n_faces,non_manifold_edges,boundary_edges,status
sub-105444200_ses-4,60068,119870,1,265,NON_MANIFOLD
sub-105444200_ses-5,60071,119866,5,279,NON_MANIFOLD
sub-105534100_ses-1,60063,119865,2,261,NON_MANIFOLD
sub-105534100_ses-2,60060,119869,5,254,NON_MANIFOLD
sub-105534100_ses-3,60067,119864,3,271,NON_MANIFOLD
sub-105534100_ses-4,60066,119865,7,272,NON_MANIFOLD
sub-105534100_ses-5,60071,119864,4,280,NON_MANIFOLD
sub-105577200_ses-1,60056,119879,1,232,NON_MANIFOLD
sub-105577200_ses-2,60067,119876,3,259,NON_MANIFOLD
sub-105577200_ses-3,60074,119876,3,273,NON_MANIFOLD
sub-105577200_ses-4,60066,119884,2,248,NON_MANIFOLD
sub-105762100_ses-1,60070,119855,1,284,NON_MANIFOLD
sub-105762100_ses-4,60073,119863,5,286,NON_MANIFOLD
sub-105782100_ses-1,60071,119874,1,267,NON_MANIFOLD
sub-105782100_ses-4,60068,119882,1,253,NON_MANIFOLD
sub-105788200_ses-1,60068,119874,5,265,NON_MANIFOLD
sub-105788200_ses-4,60069,119879,4,261,NON_MANIFOLD
sub-105821100_ses-1,60060,119865,2,255,NON_MANIFOLD
sub-105843201_ses-1,60073,119877,3,270,NON_MANIFOLD
sub-105843201_ses-2,60068,119874,4,264,NON_MANIFOLD
sub-105843201_ses-3,60072,119882,1,261,NON_MANIFOLD
sub-105850100_ses-1,60062,119870,3,255,NON_MANIFOLD
sub-105850100_ses-2,60068,119874,1,261,NON_MANIFOLD
sub-105850100_ses-5,60075,119872,4,280,NON_MANIFOLD
sub-105966100_ses-1,60063,119870,3,257,NON_MANIFOLD
sub-105966100_ses-4,60069,119874,3,264,NON_MANIFOLD
sub-105966100_ses-5,60074,119870,1,277,NON_MANIFOLD
sub-106003100_ses-1,60066,119862,2,270,NON_MANIFOLD
sub-106003100_ses-2,60074,119879,3,270,NON_MANIFOLD
sub-106006100_ses-1,60066,119863,1,268,NON_MANIFOLD
sub-106006100_ses-2,60066,119863,2,269,NON_MANIFOLD
sub-106006100_ses-4,60071,119865,5,280,NON_MANIFOLD
sub-106006100_ses-5,60078,119857,4,301,NON_MANIFOLD
sub-106032100_ses-1,60077,119877,6,281,NON_MANIFOLD
sub-106032100_ses-2,60072,119878,4,268,NON_MANIFOLD
sub-106032100_ses-3,60089,119870,1,307,NON_MANIFOLD
sub-106162100_ses-1,60074,119883,2,265,NON_MANIFOLD
sub-106292100_ses-1,60064,119856,1,271,NON_MANIFOLD
sub-106420100_ses-1,60055,119864,0,244,OK
